year,stats_json
1995,"[{class=1, sum=2199.977178529425}, {class=2, sum=1883.8737348831967}, {class=3, sum=79.46944194335937}, {class=4, sum=19203.708380217802}, {class=5, sum=35642.80689742907}, {class=6, sum=78992.54578175979}]"
2000,"[{class=1, sum=627.5618549904234}, {class=2, sum=1214.5809208651156}, {class=3, sum=639.3297396750534}, {class=4, sum=20708.122690236374}, {class=5, sum=31179.426082890266}, {class=6, sum=83633.36012610217}]"
2005,"[{class=1, sum=2003.1453356372658}, {class=2, sum=686.3341313631654}, {class=3, sum=492.55518824793205}, {class=4, sum=24341.78218934042}, {class=5, sum=31142.641932672257}, {class=6, sum=79335.92263750761}]"
2010,"[{class=1, sum=2213.5583194418327}, {class=2, sum=2517.0717539882294}, {class=3, sum=705.6972922030101}, {class=4, sum=26261.859393599105}, {class=5, sum=38121.93691078552}, {class=6, sum=68182.25774473429}]"
2015,"[{class=1, sum=1674.630028406286}, {class=2, sum=3951.6211357087222}, {class=3, sum=812.5666436301312}, {class=4, sum=32914.4471651785}, {class=5, sum=35568.292556873515}, {class=6, sum=63063.73074667516}]"
2020,"[{class=1, sum=3845.3386732127437}, {class=2, sum=12040.528326083733}, {class=3, sum=975.0690795875452}, {class=4, sum=24926.4760832298}, {class=5, sum=45443.745184713815}, {class=6, sum=50771.22406792451}]"
2023,"[{class=1, sum=1454.1166628029189}, {class=2, sum=6143.030844397259}, {class=3, sum=1427.9405583274004}, {class=4, sum=32925.38424419754}, {class=5, sum=42251.79566406408}, {class=6, sum=53800.11344096433}]"
2025,"[{class=1, sum=2247.5508570444517}, {class=2, sum=7155.2598003148305}, {class=3, sum=1384.9673439985452}, {class=4, sum=29882.141299136685}, {class=5, sum=38880.04943004387}, {class=6, sum=58452.412684216244}]"
