year,NDVI,FVC,Wetness,EVI,MNDWI,NDBI
1995,0.052772418459035325,0.01872981086995834,-0.15386134444794916,0.03929538592538402,-0.26415210584072313,0.12475128925393582
2000,0.04764999836564405,0.020117571029875537,-0.15269512765411342,0.0351772900126624,-0.25817104667407986,0.12381670951129027
2005,0.04658120618117056,0.0206005443893949,-0.1474194953476945,0.03435775564848564,-0.2555379839330921,0.1142929468668195
2010,0.057680562894259414,0.027455536969104476,-0.14958583532858447,0.042253868425973055,-0.2719656203240834,0.1160075029444918
2015,0.07769258031515061,0.053329683863459154,-0.13908362908795308,0.054810676521129316,-0.2733576448174149,0.09393566890287332
2020,0.08578308638508877,0.062234745053014275,-0.1441366179912815,0.06017057586046717,-0.28603549848816817,0.08252535723644526
2023,0.08386487593862238,0.05802730585278486,-0.14524070436779973,0.06131857627664401,-0.2841531572005937,0.08687593370516615
2025,0.08273208576759154,0.05605333706031446,-0.14673912427655927,0.059853985755496227,-0.28376610856391127,0.09298067606891586
